pert_id,pert_iname,pubchem_cid,SMILES
BRD-A04172077,BRD-A04172077,23757203,COc1ccc2ccc(=O)oc2c1CC(O)C(C)(C)OC
BRD-A04231641,FUNALTREXAMINE,,COC(=O)C=CC(=O)NC1CCC2(O)C3Cc4ccc(O)c5OC1C2(CCN3CC1CC1)c45
BRD-A04241199,BRD-A04241199,,CCOc1ccccc1N1CCN(CC(O)COc2ccc3c(C)cc(=O)oc3c2)CC1
BRD-A04258855,U-54494A HYDROCHLORIDE,,CN(C1CCCCC1N1CCCC1)C(=O)c1ccc(Cl)c(Cl)c1
BRD-A04260165,SKF-83959,11957685,CN1CCc2c(Cl)c(O)c(O)cc2C(C1)c3cccc(C)c3
BRD-A04287036,BRD-A04287036,,CCc1n[nH]c2OC(N)=C(C#N)C(c3ccc(Br)s3)c12
BRD-A04308630,GENIPIN,23340,COC(=O)C1=COC(O)C2C1CC=C2CO
BRD-A04322457,ISOPRENALINE,,CC(C)NCC(O)c1ccc(O)c(O)c1
BRD-A04327189,SYNEPHRINE,7172,CNCC(O)c1ccc(O)cc1
BRD-A04332542,BRD-A04332542,193691,CC(=O)NCC(O)c1ccc(O)cc1
BRD-A04352665,MARAVIROC,483407,CC(C)c1nnc(C)n1C2CC3CCC(C2)N3CC[C@H](NC(=O)C4CCC(F)(F)CC4)c5ccccc5
BRD-A04392722,BRD-A04392722,44142123,CC(C)(C)OC(=O)NCC(=O)NNC(=O)C(C(=O)OCc1ccccc1)c2ccccc2
BRD-A04432778,BRD-A04432778,,CC1SC(NN=Cc2cccs2)=NC1=O
BRD-A04438777,SKF 82958,1225,Oc1cc2C(CN(CC=C)CCc2c(Cl)c1O)c1ccccc1
BRD-A04445933,BRD-A04445933,,CC1CCCN(CCCNC(=O)c2cc3c(Cl)nc4ccccc4c3s2)C1
BRD-A04510218,BRD-A04510218,,[O-][N+](=O)c1ccc(cc1)C1=NOC2(CN(Cc3ccccc3)CC12)C(=O)NCCCCc1ccccc1
BRD-A04544673,BRD-A04544673,,Clc1cccc(c1)C1CC(=O)c2cnc(nc2C1)N1CCN(CC1)c1ccccc1
BRD-A04553218,CHLORPHENAMINE,5281068,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
BRD-A04599535,BRD-A04599535,,CCCC(N1CCN(CC1)C1CCCC1)c1nnnn1C1CCCCC1
BRD-A04618830,BRD-A04618830,,CCC(Sc1nc2nnc(C)c2c(N)n1-c1cccc(Cl)c1)C(=O)NCCOC
BRD-A04656563,BRD-A04656563,,CCc1ccc(cc1)C1c2c(CC(=O)OC)n[nH]c2OC(N)=C1C#N
BRD-A04661934,"2-[(4-PHENYLPIPERAZIN-1-YL)METHYL]-2,3-DIHYDROIMIDAZO[1,2-C]QUINAZOLIN-5(6H)-ONE",,O=C1Nc2ccccc2C2=NC(CN3CCN(CC3)c3ccccc3)CN12
BRD-A04668240,CGP 52432,132252,CCOC(OCC)P(O)(=O)CCCNCc1ccc(Cl)c(Cl)c1
BRD-A04691170,BRD-A04691170,,CC(C)(C)NC(=O)C(N(Cc1ccco1)C(=O)CCl)c1ccc(Cl)cc1
BRD-A04706586,BUCLADESINE,2460,CCCC(=O)Nc1ncnc2n(cnc12)C1OC2COP(O)(=O)OC2C1OC(=O)CCC
BRD-A04753289,BRD-A04753289,,CC(NC(=O)CC1Nc2ccccc2NC1=O)c1ccccc1
BRD-A04756508,NORGESTIMATE,11773081,CC[C@]12CCC3C(CCC4=C\C(CCC34)=N\O)C1CC[C@@]2(OC(C)=O)C#C
BRD-A04829586,BRD-A04829586,,COc1ccc(cc1OC)C1NC(S)=NC2=C1CCc1ccccc21
BRD-A04831598,2-AMINOTETRALIN,34677,NC1CCc2ccccc2C1
BRD-A04843266,BRD-A04843266,,CC(NC(=O)C1CC2CCCC(C1)C2=O)c1ccccc1
BRD-A04935495,BRD-A04935495,,CCOC(=O)C1CCN(CC1)C(C(=O)Nc1ccc2OCCOc2c1)c1ccccc1
